gender,age,salary,purchase_iphone
Male,49,137858,1
Female,56,86235,1
Male,49,74240,0
Male,21,144019,1
Male,47,85726,1
Female,54,30492,0
Male,40,135668,1
Male,56,121279,1
Male,62,26102,0
Female,32,70336,0
Male,60,138015,1
Male,46,105314,1
Male,53,143007,1
Male,30,46641,1
Female,49,54584,1
Male,24,52745,0
Female,39,140542,1
Female,45,43093,1
Female,19,86105,0
Male,59,123746,1
Female,62,120199,1
Male,23,71885,1
Female,45,56631,0
Female,45,131217,1
Female,61,92991,0
Female,61,24014,0
Female,37,31093,0
Female,47,38070,1
Female,28,55777,1
Female,45,76958,0
Male,42,102074,1
Male,56,30729,0
Female,50,119713,0
Female,18,65017,1
Female,44,86320,0
Male,30,47751,0
Female,58,126400,0
Male,20,125864,1
Male,56,98069,1
Male,23,125647,1
Male,25,125510,0
Male,44,74748,0
Female,26,25801,0
Female,54,39190,0
Female,50,69689,0
Female,59,124290,1
Female,61,70993,1
Male,41,49592,1
Female,32,30647,0
Female,49,28716,1
Male,49,108891,0
Female,41,107545,1
Male,58,137638,0
Female,29,109912,1
Male,56,130627,0
Female,19,90316,1
Female,20,146995,0
Male,54,22368,0
Male,34,97575,1
Male,19,26655,0
Male,19,126477,1
Male,45,90031,1
Male,40,96429,0
Male,54,111083,0
Male,49,107922,1
Female,50,75766,0
Female,18,144046,1
Male,36,33403,0
Female,19,52097,1
Female,61,98657,0
Female,43,140607,1
Female,49,30966,1
Male,23,144862,1
Female,49,119157,1
Male,21,138834,1
Female,28,113848,1
Female,34,72921,1
Female,55,69726,0
Male,41,146141,0
Female,22,70300,1
Male,51,42677,0
Female,23,75609,1
Male,39,116825,0
Female,28,76661,1
Male,33,51024,1
Male,50,128211,1
Female,26,90313,0
Male,23,147813,1
Female,33,73006,0
Female,46,115285,0
Female,20,35338,1
Female,37,88027,1
Female,53,112772,0
Female,36,133632,1
Female,43,100135,1
Female,20,39508,0
Female,36,140379,0
Female,37,23051,1
Female,49,68747,0
Male,24,134692,1
Male,58,107142,1
Female,50,107235,0
Female,57,74021,0
Female,56,86412,1
Female,35,78335,0
Female,57,76179,1
Female,18,52093,1
Female,28,89678,1
Female,45,100738,1
Male,42,59734,1
Female,40,92615,1
Male,48,93523,1
Female,47,125103,1
Female,59,114476,0
Male,52,122769,1
Female,24,37019,0
Male,33,131721,1
Female,43,103613,1
Female,19,111794,0
Male,18,106672,1
Female,29,93847,0
Male,22,102750,1
Female,54,99634,0
Male,49,48251,0
Male,26,123481,0
Female,58,132566,1
Female,52,45945,1
Male,36,110852,1
Female,33,52217,0
Female,20,28308,0
Female,37,25949,0
Male,41,71990,0
Male,50,21150,1
Male,41,109480,1
Male,28,120235,1
Male,25,94740,1
Male,53,136352,0
Male,55,86617,1
Male,57,114841,1
Male,37,36896,1
Female,52,145729,0
Male,42,66175,1
Female,52,27805,0
Female,42,25237,0
Female,46,135247,1
Male,35,40056,0
Male,63,65543,0
Male,35,76556,1
Male,19,134548,1
Female,52,131488,0
Male,33,23343,1
Male,58,33500,1
Male,53,73222,0
Male,50,49375,0
Male,21,29662,0
Female,50,36964,1
Male,31,133429,1
Female,38,141692,0
Male,37,79638,0
Female,25,93666,0
Male,24,105067,1
Male,20,138937,1
Female,34,87215,1
Female,50,89042,0
Female,29,33284,1
Male,39,92789,1
Female,39,104664,1
Male,63,113468,1
Male,47,81389,0
Female,55,29435,1
Female,55,74340,1
Male,62,64078,1
Male,25,98832,1
Female,44,71293,0
Female,44,115981,0
Female,51,98781,0
Male,38,80403,1
Male,47,49124,0
Male,50,115435,1
Male,45,63919,1
Male,64,128761,0
Male,50,141305,0
Female,22,55247,0
Male,36,141172,0
Male,21,114758,1
Male,52,111747,0
Female,34,82752,0
Male,61,76573,1
Male,45,79101,1
Female,47,122756,1
Male,46,46646,0
Male,63,124185,0
Male,23,43049,0
Male,52,99605,1
Male,58,118116,0
Female,54,117379,1
Female,41,88385,1
Female,46,146131,1
Male,63,60158,1
Male,48,85417,1
