gender,age,salary,purchase_iphone
Male,49,137858,1
Female,56,86235,1
Male,49,74240,0
Male,21,144019,1
Male,47,85726,1
Female,54,30492,0
Male,40,135668,1
Male,56,121279,1
Male,62,26102,0
Female,32,70336,0
Male,60,138015,1
Male,46,105314,1
Male,53,143007,1
Male,30,46641,1
Female,49,54584,1
Male,24,52745,0
Female,39,140542,1
Female,45,43093,1
Female,19,86105,0
Male,59,123746,1
Female,62,120199,1
Male,23,71885,1
Female,45,56631,0
Female,45,131217,1
Female,61,92991,0
Female,61,24014,0
Female,37,31093,0
Female,47,38070,1
Female,28,55777,1
Female,45,76958,0
Male,42,102074,1
Male,56,30729,0
Female,50,119713,0
Female,18,65017,1
Female,44,86320,0
Male,30,47751,0
Female,58,126400,0
Male,20,125864,1
Male,56,98069,1
Male,23,125647,1
Male,25,125510,0
Male,44,74748,0
Female,26,25801,0
Female,54,39190,0
Female,50,69689,0
Female,59,124290,1
Female,61,70993,1
Male,41,49592,1
Female,32,30647,0
Female,49,28716,1
Male,49,108891,0
Female,41,107545,1
Male,58,137638,0
Female,29,109912,1
Male,56,130627,0
Female,19,90316,1
Female,20,146995,0
Male,54,22368,0
Male,34,97575,1
Male,19,26655,0
Male,19,126477,1
Male,45,90031,1
Male,40,96429,0
Male,54,111083,0
Male,49,107922,1
Female,50,75766,0
Female,18,144046,1
Male,36,33403,0
Female,19,52097,1
Female,61,98657,0
Female,43,140607,1
Female,49,30966,1
Male,23,144862,1
Female,49,119157,1
Male,21,138834,1
Female,28,113848,1
Female,34,72921,1
Female,55,69726,0
Male,41,146141,0
Female,22,70300,1
Male,51,42677,0
Female,23,75609,1
Male,39,116825,0
Female,28,76661,1
Male,33,51024,1
Male,50,128211,1
Female,26,90313,0
Male,23,147813,1
Female,33,73006,0
Female,46,115285,0
Female,20,35338,1
Female,37,88027,1
Female,53,112772,0
Female,36,133632,1
Female,43,100135,1
Female,20,39508,0
Female,36,140379,0
Female,37,23051,1
Female,49,68747,0
Male,24,134692,1
Male,58,107142,1
Female,50,107235,0
Female,57,74021,0
Female,56,86412,1
Female,35,78335,0
Female,57,76179,1
Female,18,52093,1
Female,28,89678,1
Female,45,100738,1
Male,42,59734,1
Female,40,92615,1
Male,48,93523,1
Female,47,125103,1
Female,59,114476,0
Male,52,122769,1
Female,24,37019,0
Male,33,131721,1
Female,43,103613,1
Female,19,111794,0
Male,18,106672,1
Female,29,93847,0
Male,22,102750,1
Female,54,99634,0
Male,49,48251,0
Male,26,123481,0
Female,58,132566,1
Female,52,45945,1
Male,36,110852,1
Female,33,52217,0
Female,20,28308,0
Female,37,25949,0
Male,41,71990,0
Male,50,21150,1
Male,41,109480,1
Male,28,120235,1
Male,25,94740,1
Male,53,136352,0
Male,55,86617,1
Male,57,114841,1
Male,37,36896,1
Female,52,145729,0
Male,42,66175,1
Female,52,27805,0
Female,42,25237,0
Female,46,135247,1
Male,35,40056,0
Male,63,65543,0
Male,35,76556,1
Male,19,134548,1
Female,52,131488,0
Male,33,23343,1
Male,58,33500,1
Male,53,73222,0
Male,50,49375,0
Male,21,29662,0
Female,50,36964,1
Male,31,133429,1
Female,38,141692,0
Male,37,79638,0
Female,25,93666,0
Male,24,105067,1
Male,20,138937,1
Female,34,87215,1
Female,50,89042,0
Female,29,33284,1
Male,39,92789,1
Female,39,104664,1
Male,63,113468,1
Male,47,81389,0
Female,55,29435,1
Female,55,74340,1
Male,62,64078,1
Male,25,98832,1
Female,44,71293,0
Female,44,115981,0
Female,51,98781,0
Male,38,80403,1
Male,47,49124,0
Male,50,115435,1
Male,45,63919,1
Male,64,128761,0
Male,50,141305,0
Female,22,55247,0
Male,36,141172,0
Male,21,114758,1
Male,52,111747,0
Female,34,82752,0
Male,61,76573,1
Male,45,79101,1
Female,47,122756,1
Male,46,46646,0
Male,63,124185,0
Male,23,43049,0
Male,52,99605,1
Male,58,118116,0
Female,54,117379,1
Female,41,88385,1
Female,46,146131,1
Male,63,60158,1
Male,48,85417,1
Female,27,72900,0
Male,52,33487,1
Male,50,49290,1
Female,44,30306,1
Female,21,129527,1
Male,58,103388,1
Male,54,97898,1
Male,20,94113,0
Female,44,40057,0
Female,53,128121,1
Male,55,96018,1
Female,24,92943,0
Male,57,48145,1
Female,38,82177,0
Female,41,60441,1
Male,62,123363,1
Female,51,86045,0
Female,36,100967,0
Male,50,75954,1
Female,27,143475,1
Male,60,31323,0
Female,39,112283,1
Female,55,125600,1
Male,35,83291,0
Male,21,116984,0
Female,36,115079,1
Female,19,144442,1
Male,57,36497,1
Male,36,38102,0
Female,43,141318,0
Male,28,80025,1
Female,26,128534,1
Female,63,75583,0
Female,32,40931,1
Male,32,107463,1
Female,55,45050,1
Male,27,76062,0
Female,26,111654,0
Male,47,139053,0
Female,43,73444,1
Female,58,73636,1
Male,31,78903,1
Female,56,28041,1
Male,52,34449,0
Male,22,135750,1
Female,27,104303,1
Female,56,68881,1
Male,49,82228,1
Female,23,40039,1
Female,34,83883,0
Male,51,24177,1
Female,27,111598,1
Male,51,60221,0
Male,62,131964,1
Female,28,67771,0
Female,58,50384,0
Male,33,128410,1
Male,30,88997,1
Male,19,124711,1
Female,30,111920,1
Female,46,127130,0
Female,41,31706,1
Male,48,46932,1
Female,57,139155,1
Male,48,140320,1
Male,60,36866,0
Male,48,137674,1
Female,23,126115,0
Female,47,73760,0
Male,64,41971,1
Male,19,40961,0
Female,59,40309,0
Female,60,144025,1
Male,19,23016,0
Male,51,119387,0
Female,30,129435,0
Male,34,49039,1
Male,55,63878,1
Female,26,29132,0
Female,47,107981,1
Female,50,38289,0
Male,46,122928,1
Male,27,43739,1
Male,53,29244,1
Female,24,136916,1
Male,30,57446,1
Male,50,80417,1
Male,46,63828,0
Male,62,57481,1
Female,50,144554,1
Female,53,138165,0
Female,26,75759,1
Female,38,30658,0
Female,22,49027,0
Male,27,144292,1
Female,27,54325,0
Female,32,119019,0
Female,49,42487,0
Male,28,113729,1
Female,39,76367,1
Female,23,115803,1
Female,53,81268,1
Male,42,64600,0
Female,50,147080,1
Male,24,32168,0
Male,29,56597,0
Female,61,128495,0
Female,27,91483,0
Female,62,64016,1
Male,62,45181,1
Male,35,144141,1
Male,34,32126,0
Male,22,55812,0
Female,18,65603,0
Female,35,102637,1
Male,25,42311,0
Male,30,143341,1
Female,51,120698,1
Female,50,109250,1
Female,19,53976,1
Male,64,87427,1
Male,50,83377,1
Female,24,107437,0
Female,60,86030,1
Female,50,61491,0
Male,39,47184,0
Male,43,66704,0
Male,18,30419,0
Female,45,42547,1
Female,50,109039,0
Male,62,59561,1
Male,28,56413,0
Female,41,147213,1
Female,33,25665,0
Female,31,67888,1
Female,42,32145,0
Male,33,87306,0
Male,34,128241,1
Female,55,26611,1
Female,37,103682,1
Male,60,138171,1
Female,38,115610,0
Male,36,116066,1
Male,20,129265,0
Female,64,113038,1
Male,51,119829,1
Male,61,97704,1
Male,23,25234,1
Female,24,70514,0
Male,58,23619,0
Male,49,55725,1
Male,50,138833,1
Male,48,54205,0
Female,33,116745,0
Male,59,81487,1
Female,22,83934,0
Female,20,102018,0
Male,22,99754,1
Female,59,118564,1
Male,18,84381,1
Female,61,34194,0
Female,36,114063,1
Female,47,82274,0
Male,37,32403,0
Male,36,81308,1
Female,35,71854,1
Male,22,97364,1
Female,41,38530,0
Female,25,113337,1
Female,49,72802,1
Male,49,110487,1
Female,64,39592,1
Female,38,36997,0
Male,38,119550,1
Female,25,144342,0
Male,36,54339,1
Female,42,135178,1
Female,45,120195,1
Male,35,34481,1
Female,58,143779,1
Female,45,88122,1
Female,45,137052,1
Female,53,93138,1
Male,21,143501,0
Female,57,119803,1
Female,49,27569,0
Male,28,83040,1
Female,37,54670,0
Female,43,107132,1
Female,53,108820,1
Male,59,42338,1
Female,53,49989,1
Female,46,77173,1
Male,33,33040,1
Male,38,52492,1
Male,19,119409,0
Female,44,118908,1
Female,35,65478,0
Female,35,96422,0
Male,61,87131,1
Male,23,56673,0
Female,43,105795,1
Female,19,37828,1
Female,55,85352,1
Female,51,133277,1
Female,33,123793,1
Male,27,89617,0
Male,64,113031,1
Female,23,93436,0
Male,26,51634,0
Male,59,114869,1
Male,58,54153,1
Female,62,121268,1
Male,37,89888,0
Male,42,55344,1
Male,18,91598,1
Female,35,146840,1
Male,48,90130,1
Male,19,147059,1
