id,age,education,vip
1,56,8,1
2,69,8,1
3,46,20,0
4,32,14,0
5,60,12,0
6,25,10,0
7,38,17,0
8,56,15,0
9,36,12,0
10,40,14,0
11,28,6,0
12,28,12,0
13,41,11,0
14,53,15,0
15,57,19,1
16,41,17,0
17,20,14,0
18,39,6,0
19,19,18,0
20,41,9,0
21,61,14,0
22,47,9,0
23,55,15,0
24,19,8,1
25,38,14,0
26,50,18,0
27,29,7,1
28,39,20,0
29,61,9,1
30,42,20,0
31,66,11,0
32,44,7,0
33,59,20,0
34,45,13,0
35,33,13,0
36,32,6,0
37,64,17,0
38,68,8,0
39,61,15,1
40,69,14,1
41,20,10,1
42,54,11,0
43,68,9,0
44,24,15,0
45,38,7,0
46,26,16,0
47,56,13,0
48,35,16,0
49,21,18,0
50,42,11,0
51,31,10,0
52,67,14,0
53,26,6,1
54,43,10,0
55,19,11,0
56,37,10,0
57,45,11,0
58,64,11,0
59,24,12,0
60,61,9,0
61,25,19,0
62,64,16,0
63,52,19,0
64,31,19,1
65,34,19,0
66,53,20,0
67,67,13,1
68,57,12,0
69,21,14,0
70,19,12,0
71,23,8,0
72,59,8,1
73,21,20,0
74,46,13,1
75,35,10,0
76,43,9,0
77,61,13,0
78,51,20,0
79,27,11,0
80,53,7,1
81,31,9,0
82,48,17,1
83,65,16,0
84,32,9,1
85,25,20,0
86,31,11,0
87,40,11,0
88,57,6,0
89,38,19,0
90,33,13,0
91,62,11,0
92,35,8,1
93,64,19,0
94,41,14,0
95,43,7,0
96,42,20,0
97,62,16,0
98,58,13,0
99,46,15,0
100,32,8,0
101,62,18,0
102,18,17,0
103,42,10,0
104,24,11,0
105,26,15,0
106,41,11,0
107,18,9,0
108,61,8,0
109,25,9,0
110,41,6,0
111,28,9,0
112,68,6,0
113,34,17,0
114,25,20,0
115,52,6,1
116,52,15,0
117,50,19,0
118,22,11,0
119,59,10,0
120,56,19,0
121,58,16,1
122,45,20,0
123,24,9,0
124,26,18,0
125,25,16,0
126,29,8,0
127,51,6,0
128,50,11,0
129,65,7,0
130,40,13,0
131,41,15,0
132,54,10,0
133,52,12,0
134,61,15,0
135,57,17,0
136,39,7,0
137,44,18,0
138,52,13,0
139,18,7,0
140,52,9,0
141,54,6,0
142,64,20,0
143,31,10,0
144,20,14,0
145,18,6,1
146,22,14,0
147,43,16,0
148,31,20,0
149,56,13,1
150,44,11,0
151,26,12,0
152,32,8,0
153,32,19,0
154,43,20,0
155,59,6,1
156,30,10,0
157,68,19,0
158,49,17,0
159,56,17,0
160,66,7,0
161,69,19,0
162,49,10,0
163,21,13,0
164,47,16,0
165,54,14,0
166,40,7,1
167,56,17,0
168,62,8,1
169,32,8,0
170,60,6,0
171,46,13,0
172,53,11,0
173,30,17,0
174,49,18,0
175,24,13,0
176,68,16,0
177,39,14,1
178,45,10,1
179,19,19,0
180,59,17,0
181,62,19,0
182,23,8,0
183,45,10,0
184,45,10,0
185,61,10,0
186,61,8,1
187,37,16,0
188,47,19,0
189,28,15,0
190,45,19,0
191,42,9,0
192,56,14,1
193,50,18,0
194,18,15,1
195,44,14,0
196,69,7,0
197,30,13,0
198,58,13,0
199,20,12,1
200,56,13,1
201,23,19,0
202,25,8,0
203,44,18,0
204,26,11,1
205,54,6,0
206,50,12,0
207,68,20,0
208,59,20,0
209,61,6,0
210,41,14,0
211,32,6,1
212,49,6,0
213,49,20,0
214,41,12,1
215,58,7,0
216,69,19,1
217,66,10,0
218,66,13,0
219,69,13,1
220,29,8,0
221,56,12,0
222,19,8,0
223,20,11,0
224,66,11,0
225,54,8,0
226,66,12,1
227,34,8,0
228,66,13,0
229,19,15,0
230,19,9,0
231,45,20,0
232,40,20,1
233,54,18,0
234,49,6,0
235,50,9,0
236,18,19,0
237,36,12,0
238,19,16,0
239,61,9,0
240,43,18,0
241,49,11,0
242,23,14,0
243,49,6,0
244,21,18,0
245,28,10,0
246,34,16,0
247,55,12,0
248,41,6,0
249,22,19,0
250,69,9,0
251,51,11,0
252,23,7,0
253,39,15,1
254,28,10,0
255,65,16,0
256,33,15,0
257,50,6,0
258,26,11,0
259,23,11,1
260,33,18,0
261,46,20,0
262,20,20,0
263,37,9,1
264,53,18,0
265,36,13,0
266,43,9,0
267,20,13,0
268,36,20,1
269,37,18,1
270,49,13,0
271,24,10,1
272,69,18,0
273,58,20,1
274,50,9,0
275,57,17,0
276,56,18,0
277,35,7,0
278,57,16,0
279,18,20,0
280,28,8,0
281,45,8,0
282,42,9,0
283,67,9,0
284,40,15,1
285,48,16,0
286,47,16,0
287,59,10,0
288,52,9,1
289,24,16,0
290,33,19,0
291,43,15,0
292,65,13,1
293,69,11,0
294,66,11,0
295,19,13,0
296,18,12,1
297,65,20,0
298,29,15,0
299,22,19,1
300,54,16,0
301,49,17,0
302,26,15,0
303,58,18,0
304,52,13,0
305,36,19,0
306,65,7,0
307,33,14,0
308,20,6,1
309,37,20,0
310,41,13,1
311,50,17,0
312,41,16,1
313,69,17,0
314,28,17,0
315,66,9,0
316,25,9,1
317,53,10,0
318,55,13,0
319,57,10,0
320,37,13,0
321,52,20,0
322,65,15,0
323,42,6,0
324,52,17,0
325,42,20,0
326,46,15,0
327,35,14,0
328,63,11,0
329,35,8,0
330,19,18,0
331,52,19,0
332,33,13,0
333,58,14,0
334,53,11,0
335,50,16,0
336,21,12,0
337,50,6,0
338,31,19,0
339,38,10,0
340,65,10,0
341,37,15,0
342,25,19,0
343,24,9,1
344,20,11,0
345,34,12,0
346,50,14,0
347,65,6,0
348,29,20,0
349,68,11,0
350,39,12,0
351,39,8,0
352,63,13,0
353,47,20,0
354,55,10,0
355,55,20,0
356,62,14,1
357,68,10,0
358,25,14,0
359,44,15,0
360,44,9,0
361,51,14,1
362,38,10,0
363,47,15,1
364,50,14,0
365,45,8,1
366,64,20,0
367,50,9,0
368,22,14,0
369,65,15,0
370,36,16,0
371,21,11,0
372,52,7,0
373,66,12,0
374,34,7,0
375,61,16,0
376,45,7,0
377,47,16,0
378,46,6,0
379,63,16,0
380,23,16,0
381,52,17,0
382,58,16,0
383,54,8,0
384,41,11,0
385,46,13,0
386,66,14,0
387,63,12,0
388,48,9,1
389,52,11,0
390,50,10,0
391,69,13,0
392,38,6,0
393,49,6,0
394,40,18,1
395,50,20,0
396,20,16,0
397,35,11,1
398,42,15,0
399,59,17,0
400,48,7,0
401,20,10,0
402,57,6,0
403,63,12,1
404,41,6,0
405,67,9,0
406,49,14,0
407,64,6,0
408,39,9,0
409,40,11,0
410,19,11,0
411,44,17,0
412,59,20,0
413,19,18,0
414,43,13,0
415,34,6,0
416,57,12,0
417,50,6,1
418,26,18,0
419,60,19,0
420,65,12,0
421,56,8,0
422,46,16,0
423,59,13,0
424,43,8,0
425,52,19,0
426,67,19,0
427,42,18,0
428,41,6,1
429,30,18,0
430,24,18,0
431,53,19,0
432,62,13,0
433,37,8,0
434,18,7,0
435,25,6,1
436,63,19,0
437,33,8,0
438,31,20,0
439,29,7,0
440,68,7,0
441,40,11,0
442,32,17,0
443,45,6,1
444,51,7,0
445,19,19,0
446,49,11,0
447,40,8,0
448,39,20,0
449,68,9,0
450,42,6,0
451,39,13,0
452,39,18,0
453,66,12,0
454,69,12,1
455,59,8,0
456,23,15,0
457,32,15,0
458,60,8,0
459,54,19,0
460,50,7,1
461,25,17,0
462,61,6,0
463,61,12,0
464,22,12,0
465,56,17,0
466,21,7,0
467,23,12,1
468,62,18,0
469,49,13,0
470,69,6,0
